"","palabra"
"1","greek.expression"
"2","neque"
"3","greek.expression"
"4","greek.expression"
"5","~greek.expression~a."
"6","greek.expression"
"7","greek.expression"
"8","Metellus"
"9","greek.expression"
"10","non"
"11","duo"
"12","orior"
"13","Punicus"
"14","greek.expression"
"15","ne"
"16","que"
"17","is"
"18","excito"
"19","aut"
"20","Q."
"21","Maximus"
"22","anervavo"
"23","aut"
"24","M."
"25","Marcellus"
"26","contudo"
"27","aut"
"28","ab"
"29","hic"
"30","greek.expression"
"31","Africanus"
"32","compulo"
"33","intra"
"34","M."
"35","vero"
"36","greek.expression"
"37","et"
"38","greek.expression"
"39","qui"
"40","greek.expression"
"41","qui"
"42","idem"
"43","greek.expression"
"44","quasi"
"45","exsemplo"
"46","ad"
"47","que"
"48","greek.expression"
"49","certe"
"50","liqueo"
"51","se"
"52","in"
"53","delecto"
"54","salubris"
"55","et"
"56","propinquus"
"57","sed"
"58","greek.expression"
"59","ut"
"60","iste"
"61","greek.expression"
"62","cum"
"63","cogo"
"64","is"
"65","greek.expression"
"66","in"
"67","hic"
"68","et"
"69","ad"
"70","malo"
"71","iactor"
"72","quam"
"73","in"
"74","ille"
"75","atque"
"76","iucunde"
"77","vivere."
"78","omittus"
"79","greek.expression"
"80","qui"
"81","hic"
"82","greek.expression"
"83","et"
"84","quia"
"85","sum"
"86","procul"
"87","ab"
"88","hic"
"89","greek.expression"
"90","commemoro"
"91","is"
"92","greek.expression"
"93","ne"
"94","se"
"95","aut"
"96","praetermitto"
"97","greek.expression"
"98","unus"
"99","greek.expression"
"100","sum"
"101","ab"
"102","tantum"
"103","que"
"104","ad"
"105","defendo"
"106","greek.expression"
"107","ut"
"108","is"
"109","volo"
"110","omnis"
"111","otiique"
"112","greek.expression"
"113","ne"
"114","que"
"115","vero"
"116","habeo"
"117","satis"
"118","sum"
"119","quasi"
"120","greek.expression"
"121","nisi"
"122","etsi"
"123","greek.expression"
"124","cum"
"125","is"
"126","non"
"127","greek.expression"
"128","tamen"
"129","ipse"
"130","teneo"
"131","greek.expression"
"132","in"
"133","pono"
"134","autem"
"135","is"
"136","sum"
"137","et"
"138","is"
"139","ipsae"
"140","greek.expression"
"141","qui"
"142","in"
"143","greek.expression"
"144","greek.expression"
"145","non"
"146","greek.expression"
"147","enim"
"148","dico"
"149","ab"
"150","greek.expression"
"151","qui"
"152","quidem"
"153","recte"
"154","honeste"
"155","que"
"156","greek.expression"
"157","qui"
"158","ab"
"159","is"
"160","confirmo"
"161","que"
"162","greek.expression"
"163","ab"
"164","qui"
"165","discribo"
"166","unde"
"167","enim"
"168","aut"
"169","ab"
"170","qui"
"171","unde"
"172","aut"
"173","aut"
"174","ipse"
"175","qui"
"176","unde"
"177","greek.expression"
"178","greek.expression"
"179","unde"
"180","greek.expression"
"181","greek.expression"
"182","greek.expression"
"183","et"
"184","unde"
"185","in"
"186","et"
"187","Nempe"
"188","ab"
"189","greek.expression"
"190","qui"
"191","hic"
"192","informo"
"193","alius"
"194","greek.expression"
"195","sanxo"
"196","autem"
"197","alius"
"198","quin"
"199","etiam"
"200","Xenocrate"
"201","greek.expression"
"202","in"
"203","greek.expression"
"204","cum"
"205","quaero"
"206","ex"
"207","greek.expression"
"208","quis"
"209","adsequero"
"210","is"
"211","greek.expression"
"212","greek.expression"
"213","ut"
"214","is"
"215","greek.expression"
"216","qui"
"217","cogo"
"218","facio"
"219","ergo"
"220","greek.expression"
"221","qui"
"222","is"
"223","cogo"
"224","omnis"
"225","que"
"226","greek.expression"
"227","quod"
"228","vix"
"229","persuadeo"
"230","greek.expression"
"231","etiam"
"232","greek.expression"
"233","qui"
"234","ille"
"235","greek.expression"
"236","ipse"
"237","sum"
"238","praeferendus"
"239","qui"
"240","sum"
"241","enim"
"242","iste"
"243","tam"
"244","greek.expression"
"245","qui"
"246","sum"
"247","antepono"
"248","bene"
"249","constituo"
"250","et"
"251","equidem"
"252","quemadmodum"
"253","ad"
"254","modum"
"255","atque"
"256","greek.expression"
"257","ut"
"258","appello"
"259","greek.expression"
"260","et"
"261","praefero"
"262","greek.expression"
"263","sic"
"264","greek.expression"
"265","qui"
"266","hic"
"267","atque"
"268","greek.expression"
"269","greek.expression"
"270","qui"
"271","omnis"
"272","experto"
"273","greek.expression"
"274","longe"
"275","duco"
"276","ipse"
"277","sum"
"278","et"
"279","quoniam"
"280","magis"
"281","rapio"
"282","ad"
"283","augeo"
"284","studeo"
"285","que"
"286","et"
"287","et"
"288","reddo"
"289","et"
"290","ad"
"291","hic"
"292","ipse"
"293","greek.expression"
"294","teneo"
"295","is"
"296","greek.expression"
"297","qui"
"298","semper"
"299","sum"
"300","greek.expression"
"301","ne"
"302","que"
"303","is"
"304","greek.expression"
"305","qui"
"306","receptuo"
"307","greek.expression"
"308","ut"
"309","is"
"310","etiam"
"311","greek.expression"
"312","qui"
"313","iam"
"314","processerint."
"315","hic"
"316","tam"
"317","tamque"
"318","oppono"
"319","ab"
"320","greek.expression"
"321","qui"
"322","contra"
"323","greek.expression"
"324","primum"
"325","greek.expression"
"326","qui"
"327","sum"
"328","defendo"
"329","greek.expression"
"330","sane"
"331","vigilo"
"332","et"
"333","greek.expression"
"334","ne"
"335","que"
"336","solum"
"337","in"
"338","tantus"
"339","greek.expression"
"340","sed"
"341","etiam"
"342","in"
"343","vel"
"344","vel"
"345","vel"
"346","vero"
"347","etiam"
"348","greek.expression"
"349","Adiungo"
"350","greek.expression"
"351","que"
"352","ab"
"353","hic"
"354","greek.expression"
"355","qui"
"356","magis"
"357","is"
"358","video"
"359","greek.expression"
"360","se"
"361","consumo"
"362","et"
"363","greek.expression"
"364","quam"
"365","se"
"366","do"
"367","greek.expression"
"368","ut"
"369","possum"
"370","is"
"371","greek.expression"
"372","qui"
"373","tamen"
"374","sum"
"375","reddo"
"376","greek.expression"
"377","pro"
"378","potissimum"
"379","greek.expression"
"380","vero"
"381","se"
"382","copiosus"
"383","et"
"384","diserio"
"385","greek.expression"
"386","cum"
"387","que"
"388","is"
"389","ab"
"390","impono"
"391","hinc"
"392","enim"
"393","et"
"394","apud"
"395","greek.expression"
"396","greek.expression"
"397","victor"
"398","domitoremque"
"399","greek.expression"
"400","nondum"
"401","sano"
"402","greek.expression"
