palabra	fuente
μή	perseus
ἑαυτοῦ	perseus
ἄν	perseus
ἀλλ	perseus
ἀλλά	perseus
ἄλλος	perseus
ἀπό	perseus
ἄρα	perseus
αὐτός	perseus
δ	perseus
δέ	perseus
δή	perseus
διά	perseus
δαί	perseus
δαίς	perseus
ἔτι	perseus
ἐγώ	perseus
ἐκ	perseus
ἐμός	perseus
ἐν	perseus
ἐπί	perseus
εἰ	perseus
εἰμί	perseus
εἴμι	perseus
εἰς	perseus
γάρ	perseus
γε	perseus
γα	perseus
ἡ	perseus
ἤ	perseus
καί	perseus
κατά	perseus
μέν	perseus
μετά	perseus
ὁ	perseus
ὅδε	perseus
ὅς	perseus
ὅστις	perseus
ὅτι	perseus
οὕτως	perseus
οὗτος	perseus
οὔτε	perseus
οὖν	perseus
οὐδείς	perseus
οἱ	perseus
οὐ	perseus
οὐδέ	perseus
οὐκ	perseus
περί	perseus
πρός	perseus
σύ	perseus
σύν	perseus
τά	perseus
τε	perseus
τήν	perseus
τῆς	perseus
τῇ	perseus
τι	perseus
τί	perseus
τις	perseus
τίς	perseus
τό	perseus
τοί	perseus
τοιοῦτος	perseus
τόν	perseus
τούς	perseus
τοῦ	perseus
τῶν	perseus
τῷ	perseus
ὑμός	perseus
ὑπέρ	perseus
ὑπό	perseus
ὡς	perseus
ὦ	perseus
ὥστε	perseus
ἐάν	perseus
παρά	perseus
σός	perseus
καὶ	leyes
δὲ	leyes
μὲν	leyes
τὸ	leyes
ἂν	leyes
τὰ	leyes
τὴν	leyes
δὴ	leyes
ἢ	leyes
τὸν	leyes
περὶ	leyes
μὴ	leyes
τοῖς	leyes
δ	leyes
γὰρ	leyes
πρὸς	leyes
τοὺς	leyes
κατὰ	leyes
νῦν	leyes
ταῦτα	leyes
ἡμῖν	leyes
ἐὰν	leyes
τούτων	leyes
τὰς	leyes
τοῦτο	leyes
αὖ	leyes
μετὰ	leyes
πῶς	leyes
ἀλλ	leyes
ἐπὶ	leyes
αὐτῶν	leyes
ταῖς	leyes
διὰ	leyes
ποτε	leyes
ἀλλὰ	leyes
τούτοις	leyes
ἅμα	leyes
καθάπερ	leyes
πέρι	leyes
ἄλλων	leyes
μήτε	leyes
αὐτοῖς	leyes
οὕτω	leyes
τινα	leyes
που	leyes
τότε	leyes
τοίνυν	leyes
ὑπὸ	leyes
μὴν	leyes
τοιούτων	leyes
ὧν	leyes
ὅσα	leyes
μᾶλλον	leyes
τοιαῦτα	leyes
ἃ	leyes
ἕνεκα	leyes
παρὰ	leyes
αὐτὸν	leyes
μηδὲν	leyes
ἐξ	leyes
ὃ	leyes
τοιοῦτον	leyes
μάλιστα	leyes
ἡμῶν	leyes
ὅταν	leyes
αὐτοὺς	leyes
οἷον	leyes
ᾖ	leyes
μόνον	leyes
οὐδὲν	leyes
ἆρ	leyes
εἴ	leyes
οἷς	leyes
ἡμᾶς	leyes
οὐδ	leyes
οὐχ	leyes
κατ	leyes
αὐτὸ	leyes
αὐτῷ	leyes
ἓν	leyes
ὅπως	leyes
τοῦτον	leyes
αὑτοῦ	leyes
ταύτῃ	leyes
μοι	leyes
παρ	leyes
μηδὲ	leyes
οὐδὲ	leyes
τοῦτ	leyes
ὃς	leyes
οὐκοῦν	leyes
τούτου	leyes
ὢν	leyes
οὔτ	leyes
ὑμῖν	leyes
ἡμεῖς	leyes
αὐτὰ	leyes
πᾶς	leyes
παντάπασι	leyes
ποῖα	leyes
πάλιν	leyes
εὖ	leyes
τούτῳ	leyes
αὐτοῦ	leyes
πολλῶν	leyes
πως	leyes
οὔ	leyes
ποιεῖν	leyes
αὐτὴν	leyes
δι	leyes
ἄλλα	leyes
ἄλλοις	leyes
ταῦτ	leyes
μηδ	leyes
ταὐτὸν	leyes
μήν	leyes
αὑτῶν	leyes
ἤδη	leyes
τ	leyes
ὃν	leyes
πᾶν	leyes
ὄντων	leyes
ὅπερ	leyes
σοι	leyes
τίνα	leyes
ναί	leyes
ποτὲ	leyes
γ	leyes
ἐγὼ	leyes
ἑκάστοις	leyes
τούτους	leyes
αὐτὸς	leyes
τινος	leyes
ἣν	leyes
πᾶσιν	leyes
ταύτης	leyes
ὠ	leyes
ἄλλους	leyes
αἱ	leyes
αὐτῆς	leyes
γέ	leyes
γοῦν	leyes
οὓς	leyes
ἄλλο	leyes
ἄλλως	leyes
μάλα	leyes
ποῖον	leyes
ὑπὲρ	leyes
μετ	leyes
νυνδὴ	leyes
πάντες	leyes
καθ	leyes
ὅσοι	leyes
